correlationOrder,associatedDocument,associatedDocumentDate,type,infraType,name,subscriberId,phoneNumbers,subscriberIdOld,businessUnity,fantasyName,email,phone,hasSlot,mandatoryType,date,workOrderId,id,inventoryId,reference,value,product,equipment,code,description,observation,updateDate,action,task,fieldActivity,reason,orderItem,statusCode,scenario
"10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","Sandbox V.tal","SVTAL001","000000000","SVTALOLD001","varejo","InterHome Internet","sindicovtal@vtal.com","21999900000",true,"Obrigatorio","2021-05-05T08:00:00","SA-562403","14393","1766156","Do lado da padaria","ARC201","BL_200MB","","616551","","","","adicionar","","","","",201,"Created"
"10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","Random Name","SVTAL002","111111111","SVTALOLD002","empresarial","Random Business","random@vtal.com","21999911111",false,"Permitido","2021-05-06T09:00:00","SA-562404","14394","1766157","Proximo a padaria","ARC202","BL_200MB","","616552","","","","remover","","","","",400,"BadRequest"
"10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","Another Random Name","SVTAL003","222222222","SVTALOLD003","varejo","Another Fantasy","another@vtal.com","21999922222",true,"Obrigatorio","2021-05-07T10:00:00","SA-562405","14395","1766158","Next to the bakery","ARC203","BL_200MB","","616553","","","","adicionar","","","","",401,"Unauthorized"
"10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","Yet Another Name","SVTAL004","333333333","SVTALOLD004","empresarial","Yet Another Business","yet@vtal.com","21999933333",false,"Permitido","2021-05-08T11:00:00","SA-562406","14396","1766159","Beside the bakery","ARC204","BL_200MB","","616554","","","","remover","","","","",403,"Forbidden - Scope Not Permitted"
"10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","Name Again","SVTAL005","444444444","SVTALOLD005","varejo","Business Again","again@vtal.com","21999944444",true,"Obrigatorio","2021-05-09T12:00:00","SA-562407","14397","1766160","Close to the bakery","ARC205","BL_200MB","","616555","","","","adicionar","","","","",404,"Not Found"
"10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","Random Choice","SVTAL006","555555555","SVTALOLD006","empresarial","Random Choice Biz","choice@vtal.com","21999955555",false,"Permitido","2021-05-10T13:00:00","SA-562408","14398","1766161","Near the bakery","ARC206","BL_200MB","","616556","","","","remover","","","","",406,"Not Acceptable"
"10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","Random Option","SVTAL007","666666666","SVTALOLD007","varejo","Option Business","option@vtal.com","21999966666",true,"Obrigatorio","2021-05-11T14:00:00","SA-562409","14399","1766162","Adjacent to the bakery","ARC207","BL_200MB","","616557","","","","adicionar","","","","",429,"Too Many Requests - Exceeded Quota"
"10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","Random Variable","SVTAL008","777777777","SVTALOLD008","empresarial","Variable Business","variable@vtal.com","21999977777",false,"Permitido","2021-05-12T15:00:00","SA-562410","14400","1766163","By the bakery","ARC208","BL 200MB","","616558","","","","remover","","","","",500,"Internal Server Error"
"10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","Random Element","SVTAL009","888888888","SVTALOLD009","varejo","Element Business","element@vtal.com","21999988888",true,"Obrigatorio","2021-05-13T16:00:00","SA-562411","14401","1766164","Side by the bakery","ARC209","BL 200MB","","616559","","","","adicionar","","","","",503,"Service Unavailable"
"10","VTT001","2021-06-09T18:20:53-03:00","Instalacao","FTTH","Random Entity","SVTAL010","999999999","SVTALOLD010","empresarial","Entity Business","entity@vtal.com","21999999999",false,"Permitido","2021-05-14T17:00:00","SA-562412","14402","1766165","Next door to the bakery","ARC210","BL 200MB","","616560","","","","remover","","","","",504,"Gateway Timeout"
