token,password,statusCode,scenario
"abc123","pass123",201,"password reset success"
"def456","pass456",500,"Internal server error"
"ghi789","pass789",201,"password reset success"
"jkl012","pass012",500,"Internal server error"
"mno345","pass345",201,"password reset success"
"pqr678","pass678",500,"Internal server error"
"stu901","pass901",201,"password reset success"
"vwx234","pass234",500,"Internal server error"
"yz1234","pass1234",201,"password reset success"
"abc567","pass567",500,"Internal server error"
